Title,Description,Labels,Priority,Project
Backgammon: Issue tracking baseline,"Create issue tracking baseline for Backgammon. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/backgammon",3,games.aiandsons.io
Chess: Issue tracking baseline,"Create issue tracking baseline for Chess. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/chess",3,games.aiandsons.io
Gomoku Grid: Issue tracking baseline,"Create issue tracking baseline for Gomoku Grid. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/gomokugrid",3,games.aiandsons.io
Sudoku Sprint: Issue tracking baseline,"Create issue tracking baseline for Sudoku Sprint. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/sudokusprint",3,games.aiandsons.io
Potion Pantry: Issue tracking baseline,"Create issue tracking baseline for Potion Pantry. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/potionpantry",3,games.aiandsons.io
Marble Circuit: Issue tracking baseline,"Create issue tracking baseline for Marble Circuit. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/marblecircuit",3,games.aiandsons.io
Switchyard Shuffle: Issue tracking baseline,"Create issue tracking baseline for Switchyard Shuffle. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/switchyard",3,games.aiandsons.io
Canal Lock: Issue tracking baseline,"Create issue tracking baseline for Canal Lock. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/canallock",3,games.aiandsons.io
Skyline Stacker: Issue tracking baseline,"Create issue tracking baseline for Skyline Stacker. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/skylinestacker",3,games.aiandsons.io
Wobble Drop: Issue tracking baseline,"Create issue tracking baseline for Wobble Drop. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/wobble-drop",3,games.aiandsons.io
Crane Cargo: Issue tracking baseline,"Create issue tracking baseline for Crane Cargo. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/cranecargo",3,games.aiandsons.io
Nebula Curl: Issue tracking baseline,"Create issue tracking baseline for Nebula Curl. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/nebulacurl",3,games.aiandsons.io
Aero Courier: Issue tracking baseline,"Create issue tracking baseline for Aero Courier. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/aerocourier",3,games.aiandsons.io
Ribbon Capture: Issue tracking baseline,"Create issue tracking baseline for Ribbon Capture. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/ribboncapture",3,games.aiandsons.io
Tangle Tuner: Issue tracking baseline,"Create issue tracking baseline for Tangle Tuner. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/tangletuner",3,games.aiandsons.io
Sundial Sprint: Issue tracking baseline,"Create issue tracking baseline for Sundial Sprint. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/sundialsprint",3,games.aiandsons.io
Bubble Shooter: Issue tracking baseline,"Create issue tracking baseline for Bubble Shooter. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/bubbleshooter",3,games.aiandsons.io
Mosaic Match: Issue tracking baseline,"Create issue tracking baseline for Mosaic Match. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/mosaicmatch",3,games.aiandsons.io
Mahjong Solitaire: Issue tracking baseline,"Create issue tracking baseline for Mahjong Solitaire. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/mahjongsolitaire",3,games.aiandsons.io
Nonogram: Issue tracking baseline,"Create issue tracking baseline for Nonogram. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/nonogram",3,games.aiandsons.io
Tent Trail: Issue tracking baseline,"Create issue tracking baseline for Tent Trail. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/tenttrail",3,games.aiandsons.io
Rush Hour: Issue tracking baseline,"Create issue tracking baseline for Rush Hour. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/rushhour",3,games.aiandsons.io
Jigsaw Puzzle: Issue tracking baseline,"Create issue tracking baseline for Jigsaw Puzzle. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/jigsaw",3,games.aiandsons.io
Kakuro: Issue tracking baseline,"Create issue tracking baseline for Kakuro. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/kakuro",3,games.aiandsons.io
Cavern Crush: Issue tracking baseline,"Create issue tracking baseline for Cavern Crush. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/caverncrush",3,games.aiandsons.io
Calc Cages: Issue tracking baseline,"Create issue tracking baseline for Calc Cages. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/calccages",3,games.aiandsons.io
Word Ladder Sprint: Issue tracking baseline,"Create issue tracking baseline for Word Ladder Sprint. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/wordladder",3,games.aiandsons.io
Domino Draw: Issue tracking baseline,"Create issue tracking baseline for Domino Draw. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/dominodraw",3,games.aiandsons.io
Ink Islands: Issue tracking baseline,"Create issue tracking baseline for Ink Islands. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/inkislands",3,games.aiandsons.io
Vista Towers: Issue tracking baseline,"Create issue tracking baseline for Vista Towers. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/vistatowers",3,games.aiandsons.io
Futoshiki: Issue tracking baseline,"Create issue tracking baseline for Futoshiki. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/futoshiki",3,games.aiandsons.io
Black Box: Issue tracking baseline,"Create issue tracking baseline for Black Box. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/blackbox",3,games.aiandsons.io
ChronoSort: Issue tracking baseline,"Create issue tracking baseline for ChronoSort. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/chronosort",3,games.aiandsons.io
Mini Crossword: Issue tracking baseline,"Create issue tracking baseline for Mini Crossword. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/minicrossword",3,games.aiandsons.io
Fillomino: Issue tracking baseline,"Create issue tracking baseline for Fillomino. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/fillomino",3,games.aiandsons.io
Canyon Glider: Issue tracking baseline,"Create issue tracking baseline for Canyon Glider. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/canyonglider",3,games.aiandsons.io
Island Walls: Issue tracking baseline,"Create issue tracking baseline for Island Walls. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/islandwalls",3,games.aiandsons.io
Binary Grid: Issue tracking baseline,"Create issue tracking baseline for Binary Grid. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/binarygrid",3,games.aiandsons.io
Thermo Trail: Issue tracking baseline,"Create issue tracking baseline for Thermo Trail. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/thermotrail",3,games.aiandsons.io
Kropki Dots: Issue tracking baseline,"Create issue tracking baseline for Kropki Dots. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/kropkidots",3,games.aiandsons.io
Pearl Loop: Issue tracking baseline,"Create issue tracking baseline for Pearl Loop. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pearlloop",3,games.aiandsons.io
Star Battle: Issue tracking baseline,"Create issue tracking baseline for Star Battle. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/starbattle",3,games.aiandsons.io
Parcel Patch: Issue tracking baseline,"Create issue tracking baseline for Parcel Patch. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/parcelpatch",3,games.aiandsons.io
Domino Mosaic: Issue tracking baseline,"Create issue tracking baseline for Domino Mosaic. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/dominomosaic",3,games.aiandsons.io
Windbow Trials: Issue tracking baseline,"Create issue tracking baseline for Windbow Trials. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/windbow",3,games.aiandsons.io
Knight's Tour: Issue tracking baseline,"Create issue tracking baseline for Knight's Tour. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/knightstour",3,games.aiandsons.io
